"id","title","description","director","star1","star2","poster_url","release_date","imdb_rating","our_rating"
"548","Charade","After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines.","Stanley Donen","Cary Grant","Audrey Hepburn","/gj2TBYmOIy4E2GjMIpnbAEZNCQx.jpg",,"7.9","0"
"549","The Manchurian Candidate","Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco, finds himself plagued by strange nightmares and soon races to uncover a terrible plot.","John Frankenheimer","Frank Sinatra","Laurence Harvey","/bbec0wDUaV8nQnQHC6Fb0fSYwNM.jpg",,"7.9","0"
"550","Spartacus","Sentenced to spend out the rest of his adult life laboring in the harsh deserts of Egypt, the Thracian slave Spartacus gets a new lease on life when he is purchased by the obese owner of a Roman gladiator school. Moved by the defiance of an Ethiopian warrior, Draba, Spartacus leads a slave uprising which threatens Rome's status quo. As Spartacus gains sympathy within the Roman Senate, he also makes a powerful enemy in form of Marcus Lucinius Crassus, who makes it a matter of personal honor to crush the rebellion.","Stanley Kubrick","Kirk Douglas","Laurence Olivier","/9vmV4vowql7e2WNcPcZzn1iGR66.jpg",,"7.9","0"
"551","L'avventura","Claudia and Anna join Anna's lover, Sandro, on a boat trip to a remote volcanic island. When Anna goes missing, a search is launched. In the meantime, Sandro and Claudia become involved in a romance despite Anna's disappearance, though the relationship suffers from guilt and tension.","Michelangelo Antonioni","Gabriele Ferzetti","Monica Vitti","/kF5AeKG5XIZkAXY0kRgm57qEbJI.jpg",,"7.9","0"
"552","Hiroshima mon amour","The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city.","Alain Resnais","Emmanuelle Riva","Eiji Okada","/4fynFAYPPYCkyIdt0bsCwWn3Hxv.jpg",,"7.9","0"
"553","The Ten Commandments","The first part tells the story of Moses leading the Jews from Egypt to the Promised Land, his receipt of the tablets and the worship of the golden calf. The second part shows the efficacy of the commandments in modern life through a story set in San Francisco. Two brothers, rivals for the love of Mary, also come into conflict when John discovers Dan used shoddy materials to construct a cathedral.","Cecil B. DeMille","Charlton Heston","Yul Brynner","/6QrVSYsd5cmrThBzR8GWNm6Soa4.jpg",,"7.9","0"
"554","The Searchers","As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.","John Ford","John Wayne","Jeffrey Hunter","/fik1HN9kxpD4CtEOXA4WUruwsg1.jpg",,"7.9","0"
"555","East of Eden","A wayward young man who, while seeking his own identity, vies for the affection of his deeply religious father against his favored brother.","Elia Kazan","James Dean","Raymond Massey","/8XUuvsHorUUAUAmgfwDe5btDgZM.jpg",,"7.9","0"
"556","High Noon","Baltimore's top hostage negotiator embarks on a relationship with a man who could be her soulmate while racing to resolve a case that threatens her job and her life","Fred Zinnemann","Gary Cooper","Grace Kelly","/hVD7KzuZQMzvrE0zlbUnyJuP7wg.jpg",,"7.9","0"
"558","Harvey","The story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.","Henry Koster","James Stewart","Wallace Ford","/1S746wWQqnvvNXGajQCJsivwNRi.jpg",,"7.9","0"
"560","Notorious","""Notorious"" is the story of Christopher Wallace. Through raw talent and sheer determination, Wallace transforms himself from Brooklyn street hustler (once selling crack to pregnant women) to one of the greatest rappers of all time: The Notorious B.I.G. Follow his meteoric rise to fame and his refusal to succumb to expectations - redefining our notion of ""The American Dream.""","Alfred Hitchcock","Cary Grant","Ingrid Bergman","/ww9ov86lEv0psEPMbdERttqCOp.jpg",,"7.9","0"
"561","The Big Sleep","Private eye Philip Marlowe investigates a case of blackmail involving the two wild daughters of a rich general, a pornographer and a gangster.","Howard Hawks","Humphrey Bogart","Lauren Bacall","/yz54vZyynTtKyq82zjJFucBcOUm.jpg",,"7.9","0"
"562","The Lost Weekend","Don Birnam, a long-time alcoholic, has been sober for ten days and appears to be over the worst... but his craving has just become more insidious. Evading a country weekend planned by his brother and girlfriend, he begins a four-day bender that just might be his last - one way or another.","Billy Wilder","Ray Milland","Jane Wyman","/a3eYLIK5eYSHAJTtOy9PdciVjxx.jpg",,"7.9","0"
"564","His Girl Friday","Walter Burns is an irresistibly conniving newspaper publisher desperate to woo back his paper’s star reporter, who also happens to be his estranged wife. She’s threatening to quit and settle down with a new beau, but, as Walter knows, she has a weakness: she can’t resist a juicy scoop.","Howard Hawks","Cary Grant","Rosalind Russell","/ihoQaiMFAz4YCTAaSIsQjRknsNH.jpg",,"7.9","0"
"565","The Adventures of Robin Hood","Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.","Michael Curtiz","William Keighley","Errol Flynn","/yjnfM8QmrXQkWl8dUimsDGl73el.jpg",,"7.9","0"
"567","King Kong","Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.","Merian C. Cooper","Ernest B. Schoedsack","Fay Wray","/lYfHa1AtkUMtplrKx7SRLHpwonW.jpg",,"7.9","0"
